xgb,real_test,ridge,knn,dt,svm,deep,id
2.328757,2.302585092994046,3.077111816864662,2.302585092994046,2.473678898732379,2.2431548180348857,2.32616,0
4.019655,2.833213344056216,3.268926173855709,4.711323013701731,2.473678898732379,2.999871250171021,3.7315466,1
4.8378167,6.013715156042802,3.283825166909731,5.292585325184123,4.095925533489546,2.950638352401463,4.3426805,2
3.3748503,4.787491742782046,3.6261197048733527,5.140772031751747,2.473678898732379,4.277570146865916,5.050829,3
3.095735,2.302585092994046,3.6034888105367964,3.099235227073149,4.095925533489546,3.5936068675804846,3.2788284,4
2.2924457,2.302585092994046,2.9929298397851896,2.302585092994046,2.473678898732379,2.151800254174518,2.3973148,5
2.3258939,2.302585092994046,3.014362266468507,3.134741765200876,2.473678898732379,2.231994978647995,2.450871,6
2.2978919,2.302585092994046,3.038602781205136,2.8434158494091806,2.473678898732379,2.4840552467781403,2.506345,7
3.4168992,2.302585092994046,3.4174641235493457,4.261850329977492,4.095925533489546,3.162743210982813,3.442853,8
3.0001738,2.4849066497880004,3.4083803823139704,3.0979304981042013,4.095925533489546,3.3853135056340853,3.6985106,9
4.9909964,6.184148890937483,3.3275185636543756,4.138839264062055,4.095925533489546,3.0692977475599945,4.749246,10
5.2030544,5.337538079701318,3.2774094589378087,5.189295833023748,4.095925533489546,2.9909788185042423,5.638334,11
2.307188,2.302585092994046,3.048890430513967,2.302585092994046,2.473678898732379,2.2933857339657115,2.4540267,12
5.2317476,5.666426688112432,3.1561591440145613,3.1190249456858083,4.095925533489546,2.976302079875043,4.663419,13
3.4145057,3.6375861597263857,3.507260882432441,3.696782507711861,4.095925533489546,3.495120728797744,3.4826314,14
4.6854496,4.418840607796598,3.3180338213559324,2.4656663895039683,4.095925533489546,3.2765291498755427,4.537559,15
2.3397589,2.302585092994046,3.1130232341632644,2.302585092994046,2.473678898732379,2.548270633824192,2.614962,16
3.0822558,2.302585092994046,3.352225498240225,2.9579175157184565,4.095925533489546,3.2616359143188816,3.1367507,17
4.494117,5.910796644040527,3.438686535587082,4.455694935287164,4.095925533489546,3.4336100896660207,3.4471653,18
2.3165584,2.302585092994046,2.968291955634094,2.302585092994046,2.473678898732379,2.3137851817715136,2.3092523,19
2.3243263,2.302585092994046,3.057147237313994,2.302585092994046,2.473678898732379,2.3158903310248387,2.445394,20
4.989919,5.389071729816501,3.6004581639192232,4.904242828836331,4.095925533489546,4.5636032829175655,5.1067953,21
2.3003573,2.302585092994046,2.9669534789329406,2.302585092994046,2.473678898732379,2.5887071031858686,1.8550744,22
4.196599,2.8903717578961645,3.5317768349878222,4.0311093747157285,4.095925533489546,3.759070218757285,3.9170704,23
2.3165584,2.302585092994046,2.968291955634094,2.302585092994046,2.473678898732379,2.3137851817715136,2.3092523,24
2.3357375,2.302585092994046,3.17381929176169,2.302585092994046,2.473678898732379,2.417348997875082,2.2266982,25
2.273696,2.302585092994046,2.9564583805655054,2.302585092994046,2.473678898732379,2.1059680303148944,2.2519922,26
3.1201513,5.918893854273146,3.0727126515642613,2.302585092994046,2.473678898732379,2.468034917234109,2.8129861,27
3.938545,5.634789603169249,3.500388315613103,3.384642645511099,4.095925533489546,3.58574608912074,3.6520433,28
3.9774616,2.8903717578961645,3.571498133875423,4.831461631604752,4.095925533489546,3.3697065120166108,3.7597053,29
2.3031802,2.302585092994046,3.071529857133335,2.302585092994046,2.473678898732379,2.3137802157289817,2.2894456,30
3.276982,2.302585092994046,3.4594650183738045,3.5183121885107456,4.095925533489546,3.3990533391747526,3.3637915,31
2.349197,2.302585092994046,3.0342867716302604,2.302585092994046,2.473678898732379,1.9881269256891412,2.5004308,32
4.6862535,4.454347296253507,3.364734102883565,3.2431547439149715,4.095925533489546,3.180746117756236,4.829375,33
2.3207593,2.302585092994046,3.1607050350105657,2.302585092994046,2.473678898732379,2.4495619769667587,2.099761,34
2.2982354,2.302585092994046,3.046928922262313,2.302585092994046,2.473678898732379,2.391802474473278,2.3452692,35
3.0535007,2.302585092994046,3.2066716640328585,2.302585092994046,2.473678898732379,2.5765980797971446,2.8083928,36
3.0177364,3.6888794541139363,3.3611864392783786,3.1350999314512498,4.095925533489546,3.4129075874006993,4.0849037,37
3.4631631,6.192362489474872,3.4273307350860787,3.2431756507124807,4.095925533489546,3.148842974755174,3.6081936,38
2.3584757,2.302585092994046,3.1128864805465595,2.302585092994046,2.473678898732379,2.2907179099702564,2.4284973,39
2.3238356,2.302585092994046,2.9897053344270352,2.302585092994046,2.473678898732379,2.0544053774523716,2.42008,40
2.4157314,2.302585092994046,3.1094917168321707,2.302585092994046,2.473678898732379,2.5571388790683525,2.8024445,41
3.7258902,2.995732273553991,3.1985708445032532,4.039572241975558,2.473678898732379,2.518627985212435,3.3115277,42
5.351396,4.543294782270004,3.340841360536736,3.4993017298410773,4.095925533489546,3.829549608432992,5.0326,43
5.0373006,3.1354942159291497,3.5036361675801118,4.184335434490922,4.095925533489546,3.5933098398276244,5.252831,44
3.5586405,3.970291913552122,3.3920964615341025,4.68971031722455,4.095925533489546,3.7019013682117667,4.102355,45
2.8847883,2.302585092994046,3.3247759039371285,3.7654794140891847,2.473678898732379,3.0379732626896607,3.926599,46
4.3097115,5.043425116919247,3.6156621891852936,3.6506280784989613,4.095925533489546,3.7219654595810625,3.577653,47
4.1571016,3.1780538303479458,3.2477668797479806,4.481447864871182,2.473678898732379,2.891662105528511,4.1915474,48
3.1293035,2.302585092994046,3.4079488659418677,3.2672406501693034,4.095925533489546,3.482175681576865,3.1211648,49
2.3194425,2.302585092994046,3.089912133338013,2.302585092994046,2.473678898732379,2.291193534010819,2.3883889,50
4.414707,2.6390573296152584,3.4563870143688726,5.717303100997201,4.095925533489546,3.4581755062056367,3.6602879,51
2.821549,2.302585092994046,3.156627609821184,2.3481654821925346,2.473678898732379,2.262804109134366,2.6134098,52
2.3108695,2.302585092994046,3.132518514303711,2.302585092994046,2.473678898732379,2.1301873819965125,2.2952511,53
4.3490496,5.6131281063880705,3.802116554852039,3.4123663546724856,4.095925533489546,4.454408628468194,4.0632896,54
2.3355992,2.302585092994046,3.079370256655878,2.302585092994046,2.473678898732379,2.234430527294271,2.4281545,55
2.3137107,2.302585092994046,3.049442410915438,2.302585092994046,2.473678898732379,1.9965640446531263,2.497134,56
5.1267085,4.007333185232471,3.258217278141319,3.712342742350671,4.095925533489546,2.7132318116724035,4.9407396,57
3.8213139,5.627621113690637,3.1488343359793363,3.411239864192309,2.473678898732379,2.6970085945693456,3.1829739,58
2.2672358,2.302585092994046,3.0253910197247733,2.302585092994046,2.473678898732379,2.0327711733899787,2.4409351,59
2.3237472,2.302585092994046,3.0816206513007174,2.302585092994046,2.473678898732379,2.4731610251092877,2.3126504,60
4.8593297,6.778784897685177,3.2496389534999346,4.012507730011047,4.095925533489546,2.6959392109979983,4.8603396,61
